"filename", "language", "Rust", "comment", "blank", "total"
"/home/ayanami/桌面/软件设计/DataAnalyzer/src/data/work_record_data.rs", "Rust", -216, 0, -17, -233
"/home/ayanami/桌面/软件设计/DataAnalyzer/src/data_creater.rs", "Rust", 1, 0, 0, 1
"/home/ayanami/桌面/软件设计/DataAnalyzer/src/main.rs", "Rust", 9, 0, 0, 9
"/home/ayanami/桌面/软件设计/DataAnalyzer/src/sink/mod.rs", "Rust", 1, 0, 0, 1
"/home/ayanami/桌面/软件设计/DataAnalyzer/src/sink/operator_puaration/mod.rs", "Rust", 1, 0, 0, 1
"/home/ayanami/桌面/软件设计/DataAnalyzer/src/sink/operator_puaration/operator_puaration_sink.rs", "Rust", 102, 0, 16, 118
"/home/ayanami/桌面/软件设计/DataAnalyzer/src/sink/operator_puaration/operator_puaration_sink_config.rs", "Rust", 1, 0, 0, 1
"/home/ayanami/桌面/软件设计/DataAnalyzer/src/sink/stats_flow/mod.rs", "Rust", 4, 0, 3, 7
"/home/ayanami/桌面/软件设计/DataAnalyzer/src/sink/stats_flow/stats_flow_config.rs", "Rust", 16, 0, 3, 19
"/home/ayanami/桌面/软件设计/DataAnalyzer/src/sink/stats_flow/stats_flow_sink.rs", "Rust", 65, 0, 12, 77
"/home/ayanami/桌面/软件设计/DataAnalyzer/src/test/db_fetcher.rs", "Rust", 4, 0, 0, 4
"Total", "-", -12, 0, 17, 5
